symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
AER2C,spot,,,,,,55.8,,,,
AER2C,24hs,,,,,,51.0,,,,
AER2C,48hs,,,,,,54.0,,,,
AER2D,spot,54.0,,54.0,54.0,54.0,54.0,47393.0,87764.0,2.0,2021-09-01 14:13:01
AER2D,24hs,,,,,,53.0,,,,
AER2D,48hs,,,,,,53.0,,,,
AER2O,spot,9126.0,0.29,9139.5,9139.5,9126.0,9099.0,8011043.0,87764.0,2.0,2021-09-01 14:13:27
AER2O,24hs,,,,,,8884.0,,,,
AER2O,48hs,,,,,,9550.0,,,,
AGC1P,spot,,,,,,,,,,
AGC1P,24hs,,,,,,,,,,
AGC1P,48hs,,,,,,9815.5,,,,
BACAD,spot,,,,,,92.75,,,,
BACAD,24hs,,,,,,64.31,,,,
BACAD,48hs,,,,,,86.75,,,,
BYC9C,spot,,,,,,,,,,
BYC9C,24hs,,,,,,,,,,
BYC9C,48hs,,,,,,,,,,
BYC9D,spot,,,,,,,,,,
BYC9D,24hs,,,,,,,,,,
BYC9D,48hs,,,,,,,,,,
BYC9O,spot,,,,,,,,,,
BYC9O,24hs,,,,,,,,,,
BYC9O,48hs,,,,,,,,,,
BYCAC,spot,,,,,,,,,,
BYCAC,24hs,,,,,,,,,,
BYCAC,48hs,,,,,,,,,,
BYCAD,spot,,,,,,,,,,
BYCAD,24hs,,,,,,,,,,
BYCAD,48hs,,,,,,,,,,
BYCAO,spot,,,,,,,,,,
BYCAO,24hs,,,,,,,,,,
BYCAO,48hs,,,,,,,,,,
CAC2D,spot,,,,,,101.0,,,,
CAC2D,24hs,,,,,,102.5,,,,
CAC2D,48hs,104.0,2.97,104.0,104.0,104.0,101.0,4160.0,4000.0,3.0,2021-09-01 16:13:51
CAC2O,spot,,,,,,11163.597,,,,
CAC2O,24hs,,,,,,17255.0,,,,
CAC2O,48hs,17500.0,0.28,17500.0,17500.0,17500.0,17450.0,175000.0,1000.0,1.0,2021-09-01 16:49:41
CIC1O,spot,,,,,,7590.0,,,,
CIC1O,24hs,,,,,,,,,,
CIC1O,48hs,,,,,,9135.0,,,,
CLISD,spot,,,,,,82.35,,,,
CLISD,24hs,,,,,,82.0,,,,
CLISD,48hs,,,,,,46.5,,,,
CP17C,spot,,,,,,72.25,,,,
CP17C,24hs,,,,,,96.0,,,,
CP17C,48hs,,,,,,101.85,,,,
CP17D,spot,,,,,,106.0,,,,
CP17D,24hs,,,,,,103.8,,,,
CP17D,48hs,110.0,1.85,108.5,110.0,108.5,108.0,7680.0,7000.0,4.0,2021-09-01 15:55:46
CP17O,spot,,,,,,16285.0,,,,
CP17O,24hs,,,,,,16992.0,,,,
CP17O,48hs,18400.0,0.11,18450.0,18450.0,18377.0,18379.0,1472770.0,8000.0,6.0,2021-09-01 16:37:20
CP21D,spot,,,,,,103.0,,,,
CP21D,24hs,,,,,,100.25,,,,
CP21D,48hs,101.5,-0.49,102.0,102.0,101.5,102.0,3499.0,3447.0,8.0,2021-09-01 14:55:10
CP21O,spot,,,,,,17450.0,,,,
CP21O,24hs,,,,,,,,,,
CP21O,48hs,17150.0,1.47,17000.0,17150.0,16900.0,16900.0,1250554.0,7376.0,15.0,2021-09-01 16:44:22
CPCAO,spot,,,,,,18657.5,,,,
