symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
AER2C,spot,,,,,,55.8,,,,
AER2C,24hs,,,,,,51.0,,,,
AER2C,48hs,,,,,,54.0,,,,
AER2D,spot,54.0,-0.91,54.0,54.0,54.0,54.5,30000.0,55556.0,1.0,2021-08-31 13:45:47
AER2D,24hs,,,,,,53.0,,,,
AER2D,48hs,,,,,,53.0,,,,
AER2O,spot,9099.0,-4.36,9099.0,9099.0,9099.0,9514.0,5055040.0,55556.0,1.0,2021-08-31 13:49:16
AER2O,24hs,,,,,,8884.0,,,,
AER2O,48hs,,,,,,9550.0,,,,
AGC1P,spot,,,,,,,,,,
AGC1P,24hs,,,,,,,,,,
AGC1P,48hs,,,,,,9815.5,,,,
BACAD,spot,,,,,,92.75,,,,
BACAD,24hs,,,,,,64.31,,,,
BACAD,48hs,,,,,,86.75,,,,
BYC9C,spot,,,,,,,,,,
BYC9C,24hs,,,,,,,,,,
BYC9C,48hs,,,,,,,,,,
BYC9D,spot,,,,,,,,,,
BYC9D,24hs,,,,,,,,,,
BYC9D,48hs,,,,,,,,,,
BYC9O,spot,,,,,,,,,,
BYC9O,24hs,,,,,,,,,,
BYC9O,48hs,,,,,,,,,,
BYCAC,spot,,,,,,,,,,
BYCAC,24hs,,,,,,,,,,
BYCAC,48hs,,,,,,,,,,
BYCAD,spot,,,,,,,,,,
BYCAD,24hs,,,,,,,,,,
BYCAD,48hs,,,,,,,,,,
BYCAO,spot,,,,,,,,,,
BYCAO,24hs,,,,,,,,,,
BYCAO,48hs,,,,,,,,,,
CAC2D,spot,,,,,,101.0,,,,
CAC2D,24hs,,,,,,102.5,,,,
CAC2D,48hs,,,,,,101.0,,,,
CAC2O,spot,,,,,,11163.597,,,,
CAC2O,24hs,,,,,,17255.0,,,,
CAC2O,48hs,17450.0,,17450.0,17450.0,17450.0,17450.0,174500.0,1000.0,1.0,2021-08-31 12:17:22
CIC1O,spot,,,,,,7590.0,,,,
CIC1O,24hs,,,,,,,,,,
CIC1O,48hs,,,,,,9135.0,,,,
CLISD,spot,,,,,,82.35,,,,
CLISD,24hs,,,,,,82.0,,,,
CLISD,48hs,,,,,,46.5,,,,
CP17C,spot,,,,,,72.25,,,,
CP17C,24hs,,,,,,96.0,,,,
CP17C,48hs,,,,,,101.85,,,,
CP17D,spot,,,,,,106.0,,,,
CP17D,24hs,,,,,,103.8,,,,
CP17D,48hs,108.0,1.4,108.0,108.0,108.0,106.5,6480.0,6000.0,4.0,2021-08-31 14:46:06
CP17O,spot,,,,,,16285.0,,,,
CP17O,24hs,,,,,,16992.0,,,,
CP17O,48hs,18425.0,0.4,18425.0,18425.0,18400.0,18350.0,1473500.0,8000.0,4.0,2021-08-31 13:39:43
CP21D,spot,,,,,,103.0,,,,
CP21D,24hs,,,,,,100.25,,,,
CP21D,48hs,102.0,0.99,101.0,102.45,101.0,101.0,7384.0,7287.0,18.0,2021-08-31 15:15:05
CP21O,spot,,,,,,17450.0,,,,
CP21O,24hs,,,,,,,,,,
CP21O,48hs,17050.0,-0.29,17050.0,17150.0,16900.0,17100.0,1214295.0,7162.0,26.0,2021-08-31 15:31:22
CPCAO,spot,,,,,,18657.5,,,,
CPCAO,24hs,,,,,,18197.5,,,,
