symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
AA22,spot,104.5,0.62,104.5,104.5,104.5,103.85,257123.0,246051.0,2.0,2021-09-02 15:38:18
AA22,24hs,,,,,,101.7,,,,
AA22,48hs,104.5,0.67,103.8,104.5,103.8,103.8,31794581.0,30486912.0,16.0,2021-09-02 16:48:44
AA37D,spot,,,,,,44.7,,,,
AA37D,24hs,,,,,,44.3,,,,
AA37D,48hs,,,,,,32.51,,,,
AE38,spot,6750.0,2.27,6675.0,6759.5,6670.0,6600.0,8188969.0,122337.0,66.0,2021-09-02 15:55:24
AE38,24hs,,,,,,6600.0,,,,
AE38,48hs,6750.0,1.8,6709.0,6759.5,6680.0,6630.0,20043362.0,297763.0,155.0,2021-09-02 16:52:15
AE38C,spot,,,,,,37.1,,,,
AE38C,24hs,,,,,,36.2,,,,
AE38C,48hs,,,,,,37.0,,,,
AE38D,spot,39.3,1.94,39.05,39.3,38.98,38.55,8971.0,22973.0,18.0,2021-09-02 14:10:14
AE38D,24hs,,,,,,36.4,,,,
AE38D,48hs,39.4,1.8,38.95,39.5,38.95,38.7,46703.0,119344.0,86.0,2021-09-02 16:52:15
AF20,spot,,,,,,8310.0,,,,
AF20,24hs,,,,,,5550.0,,,,
AF20,48hs,,,,,,8300.0,,,,
AL29,spot,6630.0,2.36,6564.5,6664.0,6520.0,6477.0,4779553.0,72633.0,102.0,2021-09-02 15:52:32
AL29,24hs,6529.0,4.46,6529.0,6529.0,6529.0,6250.0,154084.0,2360.0,3.0,2021-09-02 16:28:58
AL29,48hs,6575.0,0.84,6550.0,6600.0,6520.5,6520.0,32387434.0,492986.0,365.0,2021-09-02 16:49:54
AL29C,spot,,,,,,35.75,,,,
AL29C,24hs,,,,,,42.153,,,,
AL29C,48hs,,,,,,35.75,,,,
AL29D,spot,38.21,1.19,37.71,38.3,37.71,37.76,15016.0,39326.0,26.0,2021-09-02 15:48:39
AL29D,24hs,,,,,,36.0,,,,
AL29D,48hs,38.35,1.08,37.79,38.42,37.79,37.94,42370.0,111014.0,108.0,2021-09-02 16:50:59
AL30,spot,6390.0,1.67,6301.0,6397.5,6300.0,6285.0,3595011640.0,56496191.0,9772.0,2021-09-02 16:00:04
AL30,24hs,6383.0,1.55,6340.0,6398.5,6340.0,6285.0,87390466.0,1371834.0,132.0,2021-09-02 16:52:38
AL30,48hs,6390.0,1.67,6314.0,6399.0,6314.0,6285.0,4176290748.0,65432122.0,4700.0,2021-09-02 16:52:36
AL30C,spot,36.5,-0.68,36.8,37.0,36.25,36.75,253559.0,693346.0,79.0,2021-09-02 15:09:45
AL30C,24hs,,,,,,34.75,,,,
AL30C,48hs,37.43,1.57,36.7,37.43,36.65,36.85,506751.0,1362867.0,76.0,2021-09-02 16:47:19
AL30D,spot,37.2,1.36,36.85,37.3,36.85,36.7,12270115.0,33134837.0,6251.0,2021-09-02 16:00:00
AL30D,24hs,37.1,0.7,37.01,37.1,36.7,36.84,21417.0,57866.0,12.0,2021-09-02 15:33:32
AL30D,48hs,37.45,1.54,36.92,37.45,36.92,36.88,18226045.0,48928828.0,3329.0,2021-09-02 16:52:39
AL35,spot,6194.0,2.21,6100.0,6194.0,6064.0,6060.0,6781461.0,110795.0,92.0,2021-09-02 15:23:35
AL35,24hs,,,,,,6230.0,,,,
AL35,48hs,6102.5,0.61,6067.0,6200.0,6065.0,6065.0,24995377.0,408173.0,612.0,2021-09-02 16:44:36
AL35D,spot,35.84,0.25,35.55,35.84,35.3,35.75,56541.0,160049.0,76.0,2021-09-02 14:56:16
AL35D,24hs,,,,,,31.444,,,,
AL35D,48hs,35.8,0.56,35.6,36.0,34.51,35.6,106999.0,301040.0,135.0,2021-09-02 16:38:06
AL41,spot,6700.0,2.07,6590.0,6725.5,6590.0,6564.0,943950.0,14189.0,26.0,2021-09-02 15:12:47
AL41,24hs,,,,,,6075.0,,,,
AL41,48hs,6678.0,1.72,6589.5,6710.0,6589.5,6565.0,28316155.0,424748.0,150.0,2021-09-02 16:52:33
AL41D,spot,39.0,1.56,39.0,39.0,39.0,38.4,454.0,1164.0,1.0,2021-09-02 14:25:19
AL41D,24hs,,,,,,37.05,,,,
AL41D,48hs,38.8,0.51,38.7,39.55,38.7,38.6,657941.0,1683835.0,78.0,2021-09-02 16:42:45
AO20,spot,,,,,,8650.0,,,,
AO20,24hs,,,,,,5850.0,,,,
AO20,48hs,7080.0,-5.47,7380.0,7380.0,7080.0,7490.0,36298.0,500.0,5.0,2021-09-02 13:06:24
AY24,spot,4720.0,0.21,4720.0,4720.0,4720.0,4710.0,142.0,3.0,1.0,2021-09-02 11:30:35
AY24,24hs,,,,,,4785.0,,,,
AY24,48hs,4800.0,1.69,4715.0,4850.0,4715.0,4720.0,1750665.0,36403.0,23.0,2021-09-02 15:33:51
