symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
AA22,spot,,,,,,103.85,,,,
AA22,24hs,,,,,,101.7,,,,
AA22,48hs,103.8,-0.09,104.0,104.0,103.5,103.9,108865.0,104973.0,14.0,2021-09-01 16:27:51
AA37,spot,,,,,,5684.0,,,,
AA37,24hs,,,,,,4780.0,,,,
AA37,48hs,,,,,,5150.0,,,,
AA37D,spot,,,,,,44.7,,,,
AA37D,24hs,,,,,,44.3,,,,
AA37D,48hs,,,,,,32.51,,,,
AE38,spot,6600.0,0.53,6555.0,6665.0,6555.0,6565.0,6790654.0,102501.0,51.0,2021-09-01 15:37:20
AE38,24hs,6600.0,1.14,6600.0,6600.0,6600.0,6525.0,46332.0,702.0,2.0,2021-09-01 16:52:12
AE38,48hs,6630.0,1.22,6650.0,6650.0,6590.0,6550.0,183231081.0,2771347.0,453.0,2021-09-01 17:00:29
AE38C,spot,,,,,,37.1,,,,
AE38C,24hs,,,,,,36.2,,,,
AE38C,48hs,,,,,,37.0,,,,
AE38D,spot,38.55,0.28,38.7,38.7,38.4,38.44,7908.0,20513.0,6.0,2021-09-01 15:41:53
AE38D,24hs,,,,,,36.4,,,,
AE38D,48hs,38.7,0.65,38.45,38.9,38.45,38.45,99733.0,257367.0,57.0,2021-09-01 17:00:27
AF20,spot,,,,,,8310.0,,,,
AF20,24hs,,,,,,5550.0,,,,
AF20,48hs,,,,,,8300.0,,,,
AL29,spot,6477.0,1.04,6480.0,6549.0,6470.0,6410.0,5198078.0,80019.0,134.0,2021-09-01 16:00:15
AL29,24hs,,,,,,6250.0,,,,
AL29,48hs,6520.0,1.24,6439.0,6540.0,6439.0,6440.0,26437909.0,407009.0,356.0,2021-09-01 17:00:08
AL29C,spot,,,,,,35.75,,,,
AL29C,24hs,,,,,,42.153,,,,
AL29C,48hs,,,,,,35.75,,,,
AL29D,spot,37.76,0.96,37.4,37.95,37.4,37.4,6648.0,17634.0,21.0,2021-09-01 15:38:54
AL29D,24hs,,,,,,36.0,,,,
AL29D,48hs,37.94,0.98,37.5,38.0,37.5,37.57,44464.0,117479.0,98.0,2021-09-01 16:38:40
AL30,spot,6285.0,1.86,6200.0,6300.0,6182.5,6170.0,2582710659.0,41204172.0,9453.0,2021-09-01 16:00:04
AL30,24hs,6285.0,1.69,6210.0,6299.0,6210.0,6180.0,142905935.0,2276815.0,109.0,2021-09-01 16:56:15
AL30,48hs,6285.0,1.66,6190.0,6300.0,6190.0,6182.0,6159507033.0,98069186.0,5005.0,2021-09-01 17:00:26
AL30C,spot,36.75,1.8,36.2,36.75,35.81,36.1,286495.0,792756.0,75.0,2021-09-01 16:00:12
AL30C,24hs,,,,,,34.75,,,,
AL30C,48hs,36.85,1.57,36.1,36.85,36.0,36.28,925156.0,2524900.0,120.0,2021-09-01 16:54:08
AL30D,spot,36.7,1.49,36.15,36.8,36.15,36.16,11312487.0,30957083.0,5126.0,2021-09-01 16:00:03
AL30D,24hs,36.84,1.59,36.32,36.84,36.1,36.26,48624.0,132729.0,26.0,2021-09-01 16:49:41
AL30D,48hs,36.88,1.56,36.25,36.89,36.25,36.31,14856211.0,40452150.0,2524.0,2021-09-01 17:00:29
AL35,spot,6060.0,-0.38,6095.0,6143.0,6060.0,6083.5,4488810.0,73604.0,63.0,2021-09-01 16:00:23
AL35,24hs,6230.0,9.29,6150.0,6230.0,6150.0,5700.0,345934.0,5554.0,3.0,2021-09-01 14:31:14
AL35,48hs,6065.0,,6098.0,6170.0,6059.0,6064.5,54799386.0,899669.0,700.0,2021-09-01 17:00:12
